Input	Match type	Approved symbol	Approved name	HGNC ID	Location
IMPDH1	Approved symbol	IMPDH1	inosine monophosphate dehydrogenase 1	HGNC:6052	7q32.1
IMPG1	Approved symbol	IMPG1	interphotoreceptor matrix proteoglycan 1	HGNC:6055	6q14.1
IMPG2	Approved symbol	IMPG2	interphotoreceptor matrix proteoglycan 2	HGNC:18362	3q12.3
INPP5E	Approved symbol	INPP5E	inositol polyphosphate-5-phosphatase E	HGNC:21474	9q34.3
INPP5E	Previous symbol	PMPCA	peptidase, mitochondrial processing alpha subunit	HGNC:18667	9q34.3
INVS	Approved symbol	INVS	inversin	HGNC:17870	9q31.1
IQCB1	Approved symbol	IQCB1	IQ motif containing B1	HGNC:28949	3q13.33
IRBP	Unmatched				
IRD	Unmatched				
ISQMR	Unmatched				
ITM2B	Approved symbol	ITM2B	integral membrane protein 2B	HGNC:6174	13q14.2
JAG1	Approved symbol	JAG1	jagged 1	HGNC:6188	20p12.2
JBTS1	Previous symbol	INPP5E	inositol polyphosphate-5-phosphatase E	HGNC:21474	9q34.3
JBTS14	Synonyms	TMEM237	transmembrane protein 237	HGNC:14432	2q33.1
JBTS19	Synonyms	ZNF423	zinc finger protein 423	HGNC:16762	16q12.1
JBTS2	Synonyms	TMEM216	transmembrane protein 216	HGNC:25018	11q13.1
JBTS3	Synonyms	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.3
JBTS4	Synonyms	NPHP1	nephrocystin 1	HGNC:7905	2q13
JBTS5	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
JBTS7	Synonyms	RPGRIP1L	RPGRIP1 like	HGNC:29168	16q12.2
JBTS9	Synonyms	CC2D2A	coiled-coil and C2 domain containing 2A	HGNC:29253	4p15.32
JNCL	Synonyms	CLN3	CLN3, battenin	HGNC:2074	16p12.1
KCNJ13	Approved symbol	KCNJ13	potassium voltage-gated channel subfamily J member 13	HGNC:6259	2q37.1
KCNV2	Approved symbol	KCNV2	potassium voltage-gated channel modifier subfamily V member 2	HGNC:19698	9p24.2
KFS1	Synonyms	GDF6	growth differentiation factor 6	HGNC:4221	8q22.1
KIAA1005	Synonyms	RPGRIP1L	RPGRIP1 like	HGNC:29168	16q12.2
KIAA1549	Approved symbol	KIAA1549	KIAA1549	HGNC:22219	7q34
KIF11	Approved symbol	KIF11	kinesin family member 11	HGNC:6388	10q23.33
KIP2	Synonyms	CDKN1C	cyclin dependent kinase inhibitor 1C	HGNC:1786	11p15.4
KIP2	Synonyms	CIB2	calcium and integrin binding family member 2	HGNC:24579	15q25.1
KIZ	Approved symbol	KIZ	kizuna centrosomal protein	HGNC:15865	20p11.23
KLHL7	Approved symbol	KLHL7	kelch like family member 7	HGNC:15646	7p15.3
KNO2	Unmatched				
KNSL1	Previous symbol	KIF11	kinesin family member 11	HGNC:6388	10q23.33
KSS	Approved symbol	KSS	Kearns-Sayre syndrome	HGNC:6466	mitochondria
LAMA1	Approved symbol	LAMA1	laminin subunit alpha 1	HGNC:6481	18p11.31
LCA1	Synonyms	GUCY2D	guanylate cyclase 2D, retinal	HGNC:4689	17p13.1
LCA10	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
LCA11	Synonyms	IMPDH1	inosine monophosphate dehydrogenase 1	HGNC:6052	7q32.1
LCA12	Synonyms	RD3	retinal degeneration 3	HGNC:19689	1q32.3
LCA13	Synonyms	RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	HGNC:19977	14q24.1
LCA14	Synonyms	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	HGNC:6685	4q32.1
LCA15	Synonyms	TULP1	tubby like protein 1	HGNC:12423	6p21.31
LCA16	Synonyms	KCNJ13	potassium voltage-gated channel subfamily J member 13	HGNC:6259	2q37.1
LCA17	Unmatched				
LCA18	Unmatched				
LCA2	Synonyms	RPE65	RPE65, retinoid isomerohydrolase	HGNC:10294	1p31.3
LCA3	Previous symbol	SPATA7	spermatogenesis associated 7	HGNC:20423	14q31.3
LCA4	Previous symbol	AIPL1	aryl hydrocarbon receptor interacting protein like 1	HGNC:359	17p13.2
LCA5	Approved symbol	LCA5	LCA5, lebercilin	HGNC:31923	6q14.1
LCA6	Synonyms	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1	HGNC:13436	14q11.2
LCA7	Synonyms	CRX	cone-rod homeobox	HGNC:2383	19q13.33
LCA8	Synonyms	CRB1	crumbs 1, cell polarity complex component	HGNC:2343	1q31.3
LCA9	Previous symbol	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	HGNC:17877	1p36.22
LHON	Previous symbol	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	HGNC:7459	mitochondria
LOC387715	Synonyms	ARMS2	age-related maculopathy susceptibility 2	HGNC:32685	10q26.13
LOC619531	Unmatched				
LRAT	Approved symbol	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	HGNC:6685	4q32.1
LRIT3	Approved symbol	LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3	HGNC:24783	4q25
LRP5	Approved symbol	LRP5	LDL receptor related protein 5	HGNC:6697	11q13.2
LUN	Synonyms	TOPORS	TOP1 binding arginine/serine rich protein	HGNC:21653	9p21.1
LZTFL1	Approved symbol	LZTFL1	leucine zipper transcription factor like 1	HGNC:6741	3p21.31
MAK	Approved symbol	MAK	male germ cell associated kinase	HGNC:6816	6p24.2
MAK	Synonyms	ALPK3	alpha kinase 3	HGNC:17574	15q25.3
MAPKAPK3	Approved symbol	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	HGNC:6888	3p21.2
MARF	Synonyms	MFN2	mitofusin 2	HGNC:16877	1p36.22
MASS1	Previous symbol	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
MCCRP1	Unmatched				
MCCRP2	Unmatched				
MCCRP3	Unmatched				
MCDCA	Unmatched				
MCDR1	Approved symbol	MCDR1	macular dystrophy, retinal, 1 (North Carolina type)	HGNC:6939	6q14-q16.2
MCDR2	Synonyms	AKR1C2	aldo-keto reductase family 1 member C2	HGNC:385	10p15.1
MCDR2	Previous symbol	PROM1	prominin 1	HGNC:9454	4p15.32
MCDR3	Approved symbol	MCDR3	macular dystrophy, retinal 3	HGNC:20206	5p15.33-p13.1
MCDR4	Approved symbol	MCDR4	macular dystrophy, retinal, 4 (North Carolina type with progressive sensorineural hearing loss)	HGNC:32303	14q11.2
MCDR5	Approved symbol	MCDR5	macular dystrophy 5	HGNC:49649	19q13.31-q13.32
MCLMR	Unmatched				
MCMP	Synonyms	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.22
MCOPS5	Unmatched				
MDC9	Synonyms	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.22
MDDC	Synonyms	CYMD	cystoid macular dystrophy	HGNC:2587	7p
MDDGA3	Unmatched				
MDDGB3	Unmatched				
MDDGC3	Unmatched				
MDPT1	Unmatched				
MDPT2	Unmatched				
MERTK	Approved symbol	MERTK	MER proto-oncogene, tyrosine kinase	HGNC:7027	2q13
MFN2	Approved symbol	MFN2	mitofusin 2	HGNC:16877	1p36.22
MFRP	Approved symbol	MFRP	membrane frizzled-related protein	HGNC:18121	11q23.3
MFSD8	Approved symbol	MFSD8	major facilitator superfamily domain containing 8	HGNC:28486	4q28.2
MGA3	Synonyms	OPA3	OPA3, outer mitochondrial membrane lipid metabolism regulator	HGNC:8142	19q13.32
MIR204	Approved symbol	MIR204	microRNA 204	HGNC:31582	9q21.12
MKKS	Approved symbol	MKKS	McKusick-Kaufman syndrome	HGNC:7108	20p12.2
MKS1	Approved symbol	MKS1	Meckel syndrome, type 1	HGNC:7121	17q22
MKS2	Previous symbol	TMEM216	transmembrane protein 216	HGNC:25018	11q13.1
MKS4	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
MKS5	Synonyms	RPGRIP1L	RPGRIP1 like	HGNC:29168	16q12.2
MKS6	Synonyms	CC2D2A	coiled-coil and C2 domain containing 2A	HGNC:29253	4p15.32
MLSN1	Previous symbol	TRPM1	transient receptor potential cation channel subfamily M member 1	HGNC:7146	15q13.3
MODY6	Synonyms	NEUROD1	neuronal differentiation 1	HGNC:7762	2q31.3
MPS3C	Unmatched				
MRP6	Synonyms	ABCC6	ATP binding cassette subfamily C member 6	HGNC:57	16p13.11
MRP6	Synonyms	S100A12	S100 calcium binding protein A12	HGNC:10489	1q21.3
MRST	Unmatched				
MT-ATP6	Approved symbol	MT-ATP6	mitochondrially encoded ATP synthase 6	HGNC:7414	mitochondria
MT-TH	Approved symbol	MT-TH	mitochondrially encoded tRNA histidine	HGNC:7487	mitochondria
MT-TL1	Approved symbol	MT-TL1	mitochondrially encoded tRNA leucine 1 (UUA/G)	HGNC:7490	mitochondria
MT-TP	Approved symbol	MT-TP	mitochondrially encoded tRNA proline	HGNC:7494	mitochondria
MT-TS2	Approved symbol	MT-TS2	mitochondrially encoded tRNA serine 2 (AGU/C)	HGNC:7498	mitochondria
MTLV	Synonyms	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	HGNC:3218	2p16.1
MTP	Previous symbol	MTTP	microsomal triglyceride transfer protein	HGNC:7467	4q23
MTTP	Approved symbol	MTTP	microsomal triglyceride transfer protein	HGNC:7467	4q23
MTTP	Previous symbol	MT-TP	mitochondrially encoded tRNA proline	HGNC:7494	mitochondria
MVK	Approved symbol	MVK	mevalonate kinase	HGNC:7530	12q24.11
MYO7A	Approved symbol	MYO7A	myosin VIIA	HGNC:7606	11q13.5
MZSDS	Unmatched				
NAG	Synonyms	SCN7A	sodium voltage-gated channel alpha subunit 7	HGNC:10594	2q24.3
NAG	Synonyms	NAGLU	N-acetyl-alpha-glucosaminidase	HGNC:7632	17q21.2
NAG	Synonyms	NBAS	neuroblastoma amplified sequence	HGNC:15625	2p24.3
NARP	Unmatched				
NBAS	Approved symbol	NBAS	neuroblastoma amplified sequence	HGNC:15625	2p24.3
NCKX	Synonyms	SLC24A1	solute carrier family 24 member 1	HGNC:10975	15q22.31
NCMD	Unmatched				
NDP	Approved symbol	NDP	NDP, norrin cystine knot growth factor	HGNC:7678	Xp11.3
NEK2	Approved symbol	NEK2	NIMA related kinase 2	HGNC:7745	1q32.3
NET2	Synonyms	SRSF11	serine and arginine rich splicing factor 11	HGNC:10782	1p31.1
NEUROD1	Approved symbol	NEUROD1	neuronal differentiation 1	HGNC:7762	2q31.3
NIR1	Synonyms	PITPNM3	PITPNM family member 3	HGNC:21043	17p13.2-p13.1
NLK1	Synonyms	NEK2	NIMA related kinase 2	HGNC:7745	1q32.3
NMNAT1	Approved symbol	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	HGNC:17877	1p36.22
NNO2	Synonyms	MFRP	membrane frizzled-related protein	HGNC:18121	11q23.3
NPHP1	Approved symbol	NPHP1	nephrocystin 1	HGNC:7905	2q13
NPHP10	Synonyms	SDCCAG8	serologically defined colon cancer antigen 8	HGNC:10671	1q43-q44
NPHP13	Synonyms	WDR19	WD repeat domain 19	HGNC:18340	4p14
NPHP14	Synonyms	ZNF423	zinc finger protein 423	HGNC:16762	16q12.1
NPHP15	Synonyms	CEP164	centrosomal protein 164	HGNC:29182	11q23.3
NPHP17	Synonyms	IFT172	intraflagellar transport 172	HGNC:30391	2p23.3
NPHP2	Previous symbol	INVS	inversin	HGNC:17870	9q31.1
NPHP3	Approved symbol	NPHP3	nephrocystin 3	HGNC:7907	3q22.1
NPHP4	Approved symbol	NPHP4	nephrocystin 4	HGNC:19104	1p36.31
NPHP5	Synonyms	IQCB1	IQ motif containing B1	HGNC:28949	3q13.33
NPHP6	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
NPHP8	Synonyms	RPGRIP1L	RPGRIP1 like	HGNC:29168	16q12.2
NR2E3	Approved symbol	NR2E3	nuclear receptor subfamily 2 group E member 3	HGNC:7974	15q23
NR2F1	Approved symbol	NR2F1	nuclear receptor subfamily 2 group F member 1	HGNC:7975	5q15
NRL	Approved symbol	NRL	neural retina leucine zipper	HGNC:8002	14q11.2-q12
NYX	Approved symbol	NYX	nyctalopin	HGNC:8082	Xp11.4
OA2	Synonyms	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
OAT	Approved symbol	OAT	ornithine aminotransferase	HGNC:8091	10q26.13
OFD1	Approved symbol	OFD1	OFD1, centriole and centriolar satellite protein	HGNC:2567	Xp22.2
OMCS	Unmatched				
ONCR	Unmatched				
OPA1	Approved symbol	OPA1	OPA1, mitochondrial dynamin like GTPase	HGNC:8140	3q29
OPA1	Synonyms	MED12	mediator complex subunit 12	HGNC:11957	Xq13.1
OPA10	Unmatched				
OPA2	Approved symbol	OPA2	optic atrophy 2 (obscure)	HGNC:8141	Xp11.4-p11.2
OPA3	Approved symbol	OPA3	OPA3, outer mitochondrial membrane lipid metabolism regulator	HGNC:8142	19q13.32
OPA4	Approved symbol	OPA4	optic atrophy 4 (autosomal dominant)	HGNC:32786	18q12.2
OPA5	Approved symbol	OPA5	optic atrophy 5 (autosomal dominant)	HGNC:32787	22q12.1-q13.1
OPA6	Approved symbol	OPA6	optic atrophy 6 (autosomal recessive)	HGNC:33170	8q21.13-q22.1
OPA7	Entry withdrawn	OPA7~withdrawn		HGNC:33505	
OPA7	Synonyms	TMEM126A	transmembrane protein 126A	HGNC:25382	11q14.1
OPA8	Approved symbol	OPA8	optic atrophy 8 (autosomal dominant)	HGNC:39750	16q22
OPCA3	Synonyms	ATXN7	ataxin 7	HGNC:10560	3p14.1
OPN1LW	Approved symbol	OPN1LW	opsin 1, long wave sensitive	HGNC:9936	Xq28
OPN1MW	Approved symbol	OPN1MW	opsin 1, medium wave sensitive	HGNC:4206	Xq28
OPN1SW	Approved symbol	OPN1SW	opsin 1, short wave sensitive	HGNC:1012	7q32.1
OPN2	Synonyms	RHO	rhodopsin	HGNC:10012	3q22.1
OPPG	Previous symbol	LRP5	LDL receptor related protein 5	HGNC:6697	11q13.2
OR2W3	Approved symbol	OR2W3	olfactory receptor family 2 subfamily W member 3	HGNC:15021	1q44
ORP1	Synonyms	OSBPL1A	oxysterol binding protein like 1A	HGNC:16398	18q11.2
ORP1	Synonyms	RP1	RP1, axonemal microtubule associated	HGNC:10263	8q11.23-q12.1
OTX2	Approved symbol	OTX2	orthodenticle homeobox 2	HGNC:8522	14q22.3
P53BP3	Unmatched				
PAF1	Approved symbol	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	HGNC:25459	19q13.1
PAHX	Synonyms	PHYH	phytanoyl-CoA 2-hydroxylase	HGNC:8940	10p13
PANK2	Approved symbol	PANK2	pantothenate kinase 2	HGNC:15894	20p13
PAP1	Synonyms	REG3A	regenerating family member 3 alpha	HGNC:8601	2p12
PAP1	Synonyms	PDAP1	PDGFA associated protein 1	HGNC:14634	7q22.1
PAQR1	Synonyms	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
PAX2	Approved symbol	PAX2	paired box 2	HGNC:8616	10q24.31
PBCRA1	Approved symbol	PBCRA1	progressive bifocal chorioretinal atrophy 1	HGNC:8625	6q
PCAD	Synonyms	CDH3	cadherin 3	HGNC:1762	16q22.1
PCDH15	Approved symbol	PCDH15	protocadherin related 15	HGNC:14674	10q21.1
PCDH21	Previous symbol	CDHR1	cadherin related family member 1	HGNC:14550	10q23.1
PCYT1A	Approved symbol	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	HGNC:8754	3q29
PDE6A	Approved symbol	PDE6A	phosphodiesterase 6A	HGNC:8785	5q32
PDE6B	Approved symbol	PDE6B	phosphodiesterase 6B	HGNC:8786	4p16.3
PDE6C	Approved symbol	PDE6C	phosphodiesterase 6C	HGNC:8787	10q23.33
PDE6G	Approved symbol	PDE6G	phosphodiesterase 6G	HGNC:8789	17q21.1
PDE6H	Approved symbol	PDE6H	phosphodiesterase 6H	HGNC:8790	12p13
PDEA2	Synonyms	PDE6C	phosphodiesterase 6C	HGNC:8787	10q23.33
PDZD7	Approved symbol	PDZD7	PDZ domain containing 7	HGNC:26257	10q24.31
PDZK7	Previous symbol	PDZD7	PDZ domain containing 7	HGNC:26257	10q24.31
PEX1	Approved symbol	PEX1	peroxisomal biogenesis factor 1	HGNC:8850	7q21.2
PEX2	Approved symbol	PEX2	peroxisomal biogenesis factor 2	HGNC:9717	8q21.13
PEX7	Approved symbol	PEX7	peroxisomal biogenesis factor 7	HGNC:8860	6q23.3
PGK1	Approved symbol	PGK1	phosphoglycerate kinase 1	HGNC:8896	Xq21.1
PGR21	Synonyms	ADGRA3	adhesion G protein-coupled receptor A3	HGNC:13839	4p15.2
PHARC	Unmatched				
PHYH	Approved symbol	PHYH	phytanoyl-CoA 2-hydroxylase	HGNC:8940	10p13
PIM1K	Unmatched				
PITPNM3	Approved symbol	PITPNM3	PITPNM family member 3	HGNC:21043	17p13.2-p13.1
PKAN	Synonyms	PANK2	pantothenate kinase 2	HGNC:15894	20p13
PLA2G5	Approved symbol	PLA2G5	phospholipase A2 group V	HGNC:9038	1p36.13
PLK4	Approved symbol	PLK4	polo like kinase 4	HGNC:11397	4q28.1
PMP35	Synonyms	PEX2	peroxisomal biogenesis factor 2	HGNC:9717	8q21.13
PNAT1	Synonyms	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	HGNC:17877	1p36.22
PNPLA6	Approved symbol	PNPLA6	patatin like phospholipase domain containing 6	HGNC:16268	19p13.2
PNR	Synonyms	NR2E3	nuclear receptor subfamily 2 group E member 3	HGNC:7974	15q23
PNR	Synonyms	TAAR5	trace amine associated receptor 5	HGNC:30236	6q23.2
POC1B	Approved symbol	POC1B	POC1 centriolar protein B	HGNC:30836	12q21.33
POMGNT1	Approved symbol	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	HGNC:19139	1p34.1
PRCD	Approved symbol	PRCD	photoreceptor disc component	HGNC:32528	17q25.1
PRD	Approved symbol	PRD	primary retinal dysplasia	HGNC:9345	Xp11.3
PRDM13	Approved symbol	PRDM13	PR/SET domain 13	HGNC:13998	6q16.2
PROM1	Approved symbol	PROM1	prominin 1	HGNC:9454	4p15.32
PROML1	Previous symbol	PROM1	prominin 1	HGNC:9454	4p15.32
PRP16	Synonyms	DHX38	DEAH-box helicase 38	HGNC:17211	16q22.2
PRP3	Synonyms	PRPF3	pre-mRNA processing factor 3	HGNC:17348	1q21.2
PRP31	Synonyms	PRPF31	pre-mRNA processing factor 31	HGNC:15446	19q13.42
PRPC8	Synonyms	PRPF8	pre-mRNA processing factor 8	HGNC:17340	17p13.3
PRPF3	Approved symbol	PRPF3	pre-mRNA processing factor 3	HGNC:17348	1q21.2
PRPF31	Approved symbol	PRPF31	pre-mRNA processing factor 31	HGNC:15446	19q13.42
PRPF4	Approved symbol	PRPF4	pre-mRNA processing factor 4	HGNC:17349	9q32
PRPF6	Approved symbol	PRPF6	pre-mRNA processing factor 6	HGNC:15860	20q13.33
PRPF8	Approved symbol	PRPF8	pre-mRNA processing factor 8	HGNC:17340	17p13.3
PRPH2	Approved symbol	PRPH2	peripherin 2	HGNC:9942	6p21.1
PRPS1	Approved symbol	PRPS1	phosphoribosyl pyrophosphate synthetase 1	HGNC:9462	Xq22.3
PRSS11	Previous symbol	HTRA1	HtrA serine peptidase 1	HGNC:9476	10q26.13
PTBHS	Unmatched				
PTHB1	Synonyms	BBS9	Bardet-Biedl syndrome 9	HGNC:30000	7p14.3
PTS2R	Synonyms	PEX7	peroxisomal biogenesis factor 7	HGNC:8860	6q23.3
PWDMP	Synonyms	WDR19	WD repeat domain 19	HGNC:18340	4p14
PXE	Previous symbol	ABCC6	ATP binding cassette subfamily C member 6	HGNC:57	16p13.11
PXMP3	Previous symbol	PEX2	peroxisomal biogenesis factor 2	HGNC:9717	8q21.13
QRX	Unmatched				
R9AP	Synonyms	RGS9BP	regulator of G-protein signaling 9 binding protein	HGNC:30304	19q13.11
RAB28	Approved symbol	RAB28	RAB28, member RAS oncogene family	HGNC:9768	4p15.33
RAX2	Approved symbol	RAX2	retina and anterior neural fold homeobox 2	HGNC:18286	19p13.3
RAXL1	Previous symbol	RAX2	retina and anterior neural fold homeobox 2	HGNC:18286	19p13.3
RB1	Approved symbol	RB1	RB transcriptional corepressor 1	HGNC:9884	13q14.2
RBP3	Approved symbol	RBP3	retinol binding protein 3	HGNC:9921	10q11.22
RBP3	Synonyms	E2F1	E2F transcription factor 1	HGNC:3113	20q11.22
RBP4	Approved symbol	RBP4	retinol binding protein 4	HGNC:9922	10q23.33
RBP4	Synonyms	POLR2D	RNA polymerase II subunit D	HGNC:9191	2q14.3
RCBT1	Unmatched				
RCBTB1	Approved symbol	RCBTB1	RCC1 and BTB domain containing protein 1	HGNC:18243	13q14.2
RCD1	Approved symbol	RCD1	retinal cone dystrophy 1	HGNC:9930	6q25-q26
RCD1	Synonyms	CNOT9	CCR4-NOT transcription complex subunit 9	HGNC:10445	2q35
RCD1	Synonyms	KANSL3	KAT8 regulatory NSL complex subunit 3	HGNC:25473	2q11.2
RCD2	Unmatched				
RCD3A	Unmatched				
RCD3B	Unmatched				
RCD4	Unmatched				
RCDP1	Unmatched				
RCP	Previous symbol	OPN1LW	opsin 1, long wave sensitive	HGNC:9936	Xq28
RCP	Synonyms	CRCP	CGRP receptor component	HGNC:17888	7q11.21
RCP	Synonyms	RAB11FIP1	RAB11 family interacting protein 1	HGNC:30265	8p11.23
RD3	Approved symbol	RD3	retinal degeneration 3	HGNC:19689	1q32.3
RDH1	Previous symbol	RDH5	retinol dehydrogenase 5	HGNC:9940	12q13.2
RDH11	Approved symbol	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	HGNC:17964	14q24.1
RDH12	Approved symbol	RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	HGNC:19977	14q24.1
RDH5	Approved symbol	RDH5	retinol dehydrogenase 5	HGNC:9940	12q13.2
RDPA	Unmatched				
RDS	Synonyms	TST	thiosulfate sulfurtransferase	HGNC:12388	22q12.3
RDS	Previous symbol	PRPH2	peripherin 2	HGNC:9942	6p21.1
RETGC	Synonyms	GUCY2D	guanylate cyclase 2D, retinal	HGNC:4689	17p13.1
RETGC1	Unmatched				
RGR	Approved symbol	RGR	retinal G protein coupled receptor	HGNC:9990	10q23.1
RGR	Synonyms	RGL4	ral guanine nucleotide dissociation stimulator like 4	HGNC:31911	22q11.23
RGS9	Approved symbol	RGS9	regulator of G-protein signaling 9	HGNC:10004	17q24.1
RGS9	Synonyms	RGS9BP	regulator of G-protein signaling 9 binding protein	HGNC:30304	19q13.11
RGS9BP	Approved symbol	RGS9BP	regulator of G-protein signaling 9 binding protein	HGNC:30304	19q13.11
RHO	Approved symbol	RHO	rhodopsin	HGNC:10012	3q22.1
RHO	Synonyms	RHOD	ras homolog family member D	HGNC:670	11q13.2
RHOK	Previous symbol	GRK1	G protein-coupled receptor kinase 1	HGNC:10013	13q34
RIM1	Synonyms	RIMS1	regulating synaptic membrane exocytosis 1	HGNC:17282	6q13
RIMS1	Approved symbol	RIMS1	regulating synaptic membrane exocytosis 1	HGNC:17282	6q13
RK	Synonyms	GRK1	G protein-coupled receptor kinase 1	HGNC:10013	13q34
RLBP1	Approved symbol	RLBP1	retinaldehyde binding protein 1	HGNC:10024	15q26.1
RMCH	Previous symbol	CNGB3	cyclic nucleotide gated channel beta 3	HGNC:2153	8q21.3
RMCH1	Unmatched				
RMCH2	Unmatched				
RNANC	Unmatched				
ROA1	Synonyms	OPA6	optic atrophy 6 (autosomal recessive)	HGNC:33170	8q21.13-q22.1
RODX	Synonyms	SLC24A1	solute carrier family 24 member 1	HGNC:10975	15q22.31
ROM1	Approved symbol	ROM1	retinal outer segment membrane protein 1	HGNC:10254	11q13
RP1	Approved symbol	RP1	RP1, axonemal microtubule associated	HGNC:10263	8q11.23-q12.1
RP1	Synonyms	STK19	serine/threonine kinase 19	HGNC:11398	6p21.33
RP1	Synonyms	MAPRE2	microtubule associated protein RP/EB family member 2	HGNC:6891	18q12.1-q12.2
RP10	Previous symbol	IMPDH1	inosine monophosphate dehydrogenase 1	HGNC:6052	7q32.1
RP11	Previous symbol	PRPF31	pre-mRNA processing factor 31	HGNC:15446	19q13.42
RP12	Previous symbol	CRB1	crumbs 1, cell polarity complex component	HGNC:2343	1q31.3
RP13	Previous symbol	PRPF8	pre-mRNA processing factor 8	HGNC:17340	17p13.3
RP14	Previous symbol	TULP1	tubby like protein 1	HGNC:12423	6p21.31
RP15	Previous symbol	RPGR	retinitis pigmentosa GTPase regulator	HGNC:10295	Xp11.4
RP16	Entry withdrawn	RP16~withdrawn		HGNC:10270	
RP17	Previous symbol	CA4	carbonic anhydrase 4	HGNC:1375	17q23.1
RP18	Previous symbol	PRPF3	pre-mRNA processing factor 3	HGNC:17348	1q21.2
RP19	Previous symbol	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
RP1L1	Approved symbol	RP1L1	RP1 like 1	HGNC:15946	8p23.1
RP2	Approved symbol	RP2	RP2, ARL3 GTPase activating protein	HGNC:10274	Xp11.3
RP2	Synonyms	STK19B	serine/threonine kinase 19B (pseudogene)	HGNC:21668	6p21.33
RP2	Synonyms	NUDT19	nudix hydrolase 19	HGNC:32036	19q13.11
RP20	Previous symbol	RPE65	RPE65, retinoid isomerohydrolase	HGNC:10294	1p31.3
RP21	Entry withdrawn	RP21~withdrawn		HGNC:13434	
RP22	Approved symbol	RP22	retinitis pigmentosa 22 (autosomal recessive)	HGNC:10276	16p12.3-p12.1
RP23	Previous symbol	OFD1	OFD1, centriole and centriolar satellite protein	HGNC:2567	Xp22.2
RP24	Approved symbol	RP24	retinitis pigmentosa 24 (X-linked recessive)	HGNC:10278	Xq26-q27
RP25	Previous symbol	EYS	eyes shut homolog (Drosophila)	HGNC:21555	6q12
RP26	Previous symbol	CERKL	ceramide kinase like	HGNC:21699	2q31.3
RP27	Synonyms	NRL	neural retina leucine zipper	HGNC:8002	14q11.2-q12
RP28	Previous symbol	FAM161A	family with sequence similarity 161 member A	HGNC:25808	2p15
RP29	Approved symbol	RP29	retinitis pigmentosa 29 (autosomal recessive)	HGNC:10282	4q32-q34
RP3	Previous symbol	RPGR	retinitis pigmentosa GTPase regulator	HGNC:10295	Xp11.4
RP3	Synonyms	MAPRE3	microtubule associated protein RP/EB family member 3	HGNC:6892	2p23.3
RP30	Synonyms	FSCN2	fascin actin-bundling protein 2, retinal	HGNC:3960	17q25.3
RP31	Previous symbol	TOPORS	TOP1 binding arginine/serine rich protein	HGNC:21653	9p21.1
RP32	Approved symbol	RP32	retinitis pigmentosa 32 (autosomal recessive)	HGNC:21902	1p21.2-p13.3
RP33	Previous symbol	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	HGNC:30859	2q11.2
RP34	Approved symbol	RP34	retinitis pigmentosa 34 (X-linked recessive)	HGNC:33161	Xq28
RP35	Approved symbol	RP35	retinitis pigmentosa 35 (autosomal dominant)	HGNC:37092	reserved
RP36	Synonyms	PRCD	photoreceptor disc component	HGNC:32528	17q25.1
RP37	Synonyms	NR2E3	nuclear receptor subfamily 2 group E member 3	HGNC:7974	15q23
RP38	Synonyms	MERTK	MER proto-oncogene, tyrosine kinase	HGNC:7027	2q13
RP39	Synonyms	USH2A	usherin	HGNC:12601	1q41
RP4	Previous symbol	RHO	rhodopsin	HGNC:10012	3q22.1
RP40	Synonyms	PDE6B	phosphodiesterase 6B	HGNC:8786	4p16.3
RP41	Synonyms	PROM1	prominin 1	HGNC:9454	4p15.32
RP42	Synonyms	KLHL7	kelch like family member 7	HGNC:15646	7p15.3
